Driver,PrevLapTimeSeconds,CurrentLapTimeSeconds,EventName,PrevSeason,CurrentSeason,CurrentGridPosition
VET,72.20415942028986,72.87348571428572,Austrian Grand Prix,2021,2022,18
ALO,95.56702,98.37809999999999,British Grand Prix,2021,2022,7
BOT,93.23591836734694,101.37231578947369,British Grand Prix,2021,2022,12
GAS,95.58684,100.90948,British Grand Prix,2021,2022,11
HAM,93.03512244897958,95.492125,British Grand Prix,2021,2022,5
LAT,95.7654693877551,100.08972549019607,British Grand Prix,2021,2022,10
LEC,93.07944897959183,95.70135416666666,British Grand Prix,2021,2022,3
MSC,97.09667346938775,98.78227999999999,British Grand Prix,2021,2022,19
NOR,93.65691836734695,97.42567346938776,British Grand Prix,2021,2022,6
OCO,95.52948,101.55108333333334,British Grand Prix,2021,2022,15
PER,95.68369387755102,97.3095306122449,British Grand Prix,2021,2022,4
RIC,93.9225306122449,98.92147999999999,British Grand Prix,2021,2022,14
SAI,94.96722,94.32280851063828,British Grand Prix,2021,2022,1
STR,95.45263999999999,99.86974509803922,British Grand Prix,2021,2022,20
TSU,95.44432,101.23160784313725,British Grand Prix,2021,2022,13
VET,95.6275945945946,98.75674000000001,British Grand Prix,2021,2022,18
ALO,84.37027941176471,86.72646376811595,Hungarian Grand Prix,2021,2022,6
HAM,83.97120588235295,85.48208571428572,Hungarian Grand Prix,2021,2022,7
LAT,85.35536764705883,87.75230434782608,Hungarian Grand Prix,2021,2022,19
MSC,86.0221343283582,87.15092753623188,Hungarian Grand Prix,2021,2022,15
NOR,142.425,86.48874285714287,Hungarian Grand Prix,2021,2022,4
OCO,84.15729411764706,86.76811594202898,Hungarian Grand Prix,2021,2022,5
RIC,85.99071641791045,87.1354927536232,Hungarian Grand Prix,2021,2022,9
RUS,85.31989705882353,85.54641428571428,Hungarian Grand Prix,2021,2022,1
SAI,84.40711764705883,85.57844285714286,Hungarian Grand Prix,2021,2022,2
TSU,85.31864705882353,88.65795588235294,Hungarian Grand Prix,2021,2022,16
VER,85.29720588235294,85.37017142857144,Hungarian Grand Prix,2021,2022,10
VET,84.20141176470588,86.7701884057971,Hungarian Grand Prix,2021,2022,18
ALO,227.661,115.7175,Belgian Grand Prix,2021,2022,3
BOT,229.485,125.651,Belgian Grand Prix,2021,2022,13
LAT,222.556,116.503675,Belgian Grand Prix,2021,2022,11
LEC,219.679,115.6982380952381,Belgian Grand Prix,2021,2022,15
MSC,236.578,117.15739024390246,Belgian Grand Prix,2021,2022,19
NOR,234.181,116.72688095238097,Belgian Grand Prix,2021,2022,17
OCO,218.65,115.9874761904762,Belgian Grand Prix,2021,2022,16
PER,245.276,114.24557142857144,Belgian Grand Prix,2021,2022,2
RIC,211.567,116.61833333333334,Belgian Grand Prix,2021,2022,7
