Driver,LapTime_first_year,LapTime_latter_year
BOT,81.46828571428571,90.82039130434782
BOT,90.96036842105264,87.86484313725491
BOT,114.44638636363635,110.62904545454545
BOT,92.84476923076923,87.9625
BOT,86.48070769230769,85.77844927536232
BOT,93.50663157894736,96.53038596491228
BOT,99.27225,98.26928125
BOT,101.37231578947369,98.89938461538462
BOT,104.46482,100.17049180327868
BOT,78.2595352112676,83.61402816901409
BOT,97.82858181818182,93.50663157894736
BOT,123.22375925925925,104.46482
BOT,86.26114492753624,85.13011428571428
BOT,81.96743076923076,82.36215384615384
BOT,80.00898113207546,85.77475714285714
BOT,136.214,101.44864705882354
BOT,87.86484313725491,85.42401754385965
BOT,82.9572,81.46828571428571
BOT,111.45539583333334,110.79430612244899
BOT,85.77475714285714,77.83952857142857
BOT,99.25260377358491,103.37316981132076
BOT,92.90556140350877,91.84271929824561
BOT,93.23591836734694,101.37231578947369
BOT,76.79299999999999,91.48973015873015
BOT,109.6235,111.45539583333334
BOT,229.485,125.651
BOT,105.7689375,103.92791071428572
BOT,91.84271929824561,94.90933333333334
BOT,71.16219718309858,72.63267142857143
BOT,107.44702040816325,100.76028571428571
BOT,,86.48070769230769
BOT,85.13011428571428,87.02815714285715
BOT,87.02815714285715,87.11467142857143
BOT,75.85909722222222,80.00898113207546
BOT,99.02766666666668,97.68866666666668
BOT,81.43955263157895,89.53307462686568
BOT,98.31056363636364,102.97724561403508
BOT,101.96483333333335,88.43122222222223
BOT,83.61402816901409,81.43955263157895
BOT,85.065,89.40077272727272
BOT,100.16461403508771,98.50374545454545
COL,102.37798181818181,102.59032727272727
COL,86.07613207547169,84.84178846153847
COL,110.29074,108.80091489361702
COL,86.90424285714285,84.61357142857143
COL,99.32549180327868,99.4304426229508
GAS,110.48647727272727,114.14143902439024
GAS,76.80405128205129,90.65195161290323
GAS,90.65195161290323,84.54284615384616
GAS,88.29672000000001,86.52059615384616
GAS,99.93597727272727,100.23285416666666
GAS,97.53079591836735,121.453
GAS,95.58684,100.90948
GAS,85.3122105263158,104.88916666666667
GAS,102.72396721311476,100.19065573770492
GAS,86.77695714285714,84.60934285714286
GAS,115.72978048780489,114.3985
GAS,100.422,103.16150943396227
GAS,83.46720967741935,87.69242857142856
GAS,86.52059615384616,84.81080769230769
GAS,100.78102272727273,100.18401754385964
GAS,121.453,
GAS,91.09535087719298,86.08175
GAS,110.85819607843138,110.61432
GAS,85.13904285714285,86.81901428571429
GAS,84.4893,76.81863380281689
GAS,81.24624242424242,84.7766212121212
GAS,100.23285416666666,97.53079591836735
GAS,80.96919444444444,84.4893
GAS,114.16808333333334,101.03768
GAS,98.87783928571427,101.32345614035087
GAS,114.3985,110.48647727272727
GAS,100.18401754385964,98.87783928571427
GAS,90.48341538461538,81.0828787878788
GAS,93.22650877192983,96.40059649122807
GAS,97.57266666666666,93.22650877192983
GAS,71.78009859154929,72.82454285714286
GAS,91.25834482758621,90.79053448275862
GAS,102.45436363636364,102.6602909090909
GAS,108.98313636363636,111.43078
GAS,111.43078,110.85819607843138
GAS,91.2057924528302,88.29672000000001
